timestamp,广东,广西,云南,贵州,海南
2025-08-08 00:00:00,1.0,1.2,1.1,0.8,1.2
2025-08-08 01:00:00,1.0,1.2,1.1,0.8,1.2
2025-08-08 02:00:00,1.0,1.2,1.0,0.8,1.2
2025-08-08 03:00:00,1.0,1.2,1.0,1.0,1.2
2025-08-08 04:00:00,1.0,1.2,1.0,1.0,1.2
2025-08-08 05:00:00,1.0,1.2,1.0,1.0,1.2
2025-08-08 06:00:00,1.0,1.2,1.1,1.2,1.2
2025-08-08 07:00:00,1.0,1.2,1.1,1.0,0.8
2025-08-08 08:00:00,1.0,1.0,1.0,1.0,0.8
2025-08-08 09:00:00,1.0,1.0,1.0,1.2,0.8
2025-08-08 10:00:00,0.8,1.2,1.0,1.2,0.8
2025-08-08 11:00:00,0.8,1.2,0.9,1.2,0.8
2025-08-08 12:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-08 13:00:00,1.0,1.2,1.0,0.8,1.2
2025-08-08 14:00:00,0.8,0.8,0.9,1.2,1.2
2025-08-08 15:00:00,0.8,0.8,0.9,1.2,1.2
2025-08-08 16:00:00,0.8,0.8,0.9,1.2,1.2
2025-08-08 17:00:00,0.8,0.8,1.0,1.2,1.2
2025-08-08 18:00:00,0.8,1.2,1.1,1.2,1.0
2025-08-08 19:00:00,0.8,1.2,1.1,1.2,1.0
2025-08-08 20:00:00,1.0,1.2,1.1,1.2,1.2
2025-08-08 21:00:00,1.0,1.2,1.1,1.2,1.2
2025-08-08 22:00:00,1.0,1.2,1.1,1.2,1.2
2025-08-08 23:00:00,1.0,1.2,1.1,1.2,1.2
